,Region,% presence
0,Территория за пределами РФ,0.9806986984380843
1, Республика Тыва,0.9366369316170003
2, Ямало-Ненецкий автономный округ,0.9190125747324195
3, Кабардино-Балкарская Республика,0.9180157863562131
4, Чеченская Республика,0.9154001705101918
5, Республика Северная Осетия - Алания,0.8998810071492768
6, Республика Дагестан,0.8747795414462081
7, Карачаево-Черкесская Республика,0.8740544668203033
8, Кемеровская область,0.8322733516003962
9, Чукотский автономный округ,0.8228138695924391
10, Республика Ингушетия,0.8195937165135314
11, Брянская область,0.797078003370434
12, Тюменская область,0.7892544508025854
13, Краснодарский край,0.7786760339047925
14, Республика Мордовия,0.7785708098460915
15, Республика Татарстан (Татарстан),0.7742157684137118
16, Чувашская Республика - Чувашия,0.7622296238501433
17, Республика Башкортостан,0.7544523455707033
18, Республика Бурятия,0.7519978782127258
19, Республика Адыгея (Адыгея),0.7431189118555477
20, Ставропольский край,0.7384811380095883
21, Пензенская область,0.7374614571776765
22, Белгородская область,0.7324455901077697
23, Орловская область,0.7217424362426739
24, Липецкая область,0.7216306505495215
25, Тамбовская область,0.7204216465882577
26, Магаданская область,0.7191160134858613
27, Республика Крым,0.7155367431982878
28, город Севастополь,0.714362408188549
29, Республика Саха (Якутия),0.7099641806438786
30, Ханты-Мансийский автономный округ - Югра,0.6971998764976649
31, Республика Калмыкия,0.6964519196481636
32, Тульская область,0.6865869264449216
33, Калужская область,0.6816644253581603
34, Волгоградская область,0.6813787840244213
35, Камчатский край,0.6774038360978059
36, Самарская область,0.6690291228657845
37, Ленинградская область,0.6688872082535052
38, Пермский край,0.6651080555250176
39, Саратовская область,0.6649384336768184
40, Республика Марий Эл,0.6643206529334489
41, Челябинская область,0.6641444414562659
42, Мурманская область,0.6635797889809303
43,Город Байконур (Республика Казахстан),0.6627101200686106
44, Вологодская область,0.662037281456625
45, Оренбургская область,0.6608854175928323
46, Нижегородская область,0.6598308809350616
47, Республика Хакасия,0.6586511617918653
48, Алтайский край,0.6539501910599422
49, Псковская область,0.653366876660025
50, Рязанская область,0.6513873899645026
51, Владимирская область,0.6501407246178704
52, Ростовская область,0.6477452943133105
53, Республика Алтай,0.6477333517946265
54, Воронежская область,0.6456471367981634
55, Курская область,0.6448047186803118
56, Ульяновская область,0.6433458463913794
57, Хабаровский край,0.6422711571675302
58, Ярославская область,0.6412488905905517
59, город Санкт-Петербург,0.6387334207319793
60, Ненецкий автономный округ,0.6361540410438308
61, Московская область,0.6359904610591024
62, Удмуртская Республика,0.6327015117653461
63, Кировская область,0.6272143087963958
64, Свердловская область,0.6234765954177617
65, Амурская область,0.6214636512077949
66, Курганская область,0.6173683657562137
67, Смоленская область,0.6126560597965643
68, Сахалинская область,0.6121849761018656
69, Приморский край,0.6111744529831993
70, Костромская область,0.6051173268256054
71, Омская область,0.6048874464879904
72, Астраханская область,0.6042031713949628
73, Новосибирская область,0.6040699806288404
74, Республика Коми,0.603966051053969
75, Красноярский край,0.6033765075309312
76, Еврейская автономная область,0.6024882804011052
77, город Москва,0.5993565211258906
78, Томская область,0.5927061435745088
79, Архангельская область,0.5919725929701668
80, Ивановская область,0.5855337897242885
81, Забайкальский край,0.5798818814916449
82, Тверская область,0.5758427464981531
83, Новгородская область,0.5730386454698203
84, Республика Карелия,0.571956656859104
85, Иркутская область,0.5569607578398836
